id_age,ciudad
104,SUCRE
204,LA PAZ
207,LA PAZ
208,LA PAZ
216,LA PAZ
221,LA PAZ
223,LA PAZ
224,LA PAZ
226,LA PAZ
229,LA PAZ
232,LA PAZ
250,LA PAZ
280,LA PAZ
288,LA PAZ
304,COCHABAMBA
305,COCHABAMBA
312,COCHABAMBA
313,COCHABAMBA
314,COCHABAMBA
328,COCHABAMBA
340,COCHABAMBA
388,COCHABAMBA
404,ORURO
504,POTOSI
604,TARIJA
701,SANTA CRUZ
703,SANTA CRUZ
704,SANTA CRUZ
705,SANTA CRUZ
706,SANTA CRUZ
709,SANTA CRUZ
710,SANTA CRUZ
715,SANTA CRUZ
718,SANTA CRUZ
724,SANTA CRUZ
725,SANTA CRUZ
730,SANTA CRUZ
738,SANTA CRUZ
739,SANTA CRUZ
740,SANTA CRUZ
756,SANTA CRUZ
774,SANTA CRUZ
804,BENI
